,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EngageCount
3484,3484,60308,"ready for you to engage, captain ",riker int.,5.0,106.txt,"['Ready', 'engage', 'Captain']","['Readi', 'engag', 'Captain']","['Readi', 'engag', 'Captain']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",5,6,6,"""Where No One Has Gone Before""",41263.1,Rob Bowman,Diane Duane and Michael Reaves,"October?26,?1987?(1987-10-26)",10.5[1],5,1
4625,4625,28915,that they were too engaged in their own affairs to have disabled our ship and murdered the engineer.,data,7.0,108.txt,"['That', 'engaged', 'affairs', 'disabled', 'ship', 'murdered', 'engineer']","['That', 'engag', 'affair', 'disabl', 'ship', 'murder', 'engin']","['That', 'engag', 'affair', 'disabl', 'ship', 'murder', 'engin']",7.0,-0.6908,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],7,8,8,"""Justice""",41255.6,James L. Conway,Teleplay: Worley Thorne Story: Ralph Willis and Worley Thorne,"November?9,?1987?(1987-11-09)",12.7[1],7,1
4658,4658,28948,"(nodding) energizing, sir as data engages the transporter.",data shot including transporter platform,7.0,108.txt,"['nodding', 'Energizing', 'sir', 'Data', 'engages', 'transporter']","['nod', 'Energ', 'sir', 'Data', 'engag', 'transport']","['nod', 'Energ', 'sir', 'Data', 'engag', 'transport']",6.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],7,8,8,"""Justice""",41255.6,James L. Conway,Teleplay: Worley Thorne Story: Ralph Willis and Worley Thorne,"November?9,?1987?(1987-11-09)",12.7[1],7,1
5323,5323,1879,"engage, transporter room, urgent!",picard,8.0,109.txt,"['Engage', 'Transporter', 'Room', 'urgent']","['Engag', 'Transport', 'Room', 'urgent']","['Engag', 'Transport', 'Room', 'urgent']",4.0,0.2023,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,9,9,"""The Battle""",41723.9,Rob Bowman,Teleplay: Herbert J. Wright Story: Larry Forrester,"November?16,?1987?(1987-11-16)",10.5[1],8,1
6713,6713,2465,(nods) engage ,picard ext.,10.0,111.txt,"['nods', 'Engage']","['nod', 'Engag']","['nod', 'Engag']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,11,11,"""Haven""",41294.5,Richard Compton,Teleplay: Tracy Torm? Story: Tracy Torm? and Lan O'Kun,"November?30,?1987?(1987-11-30)",10.3[1],10,1
9263,9263,86831,we're going to be seriously undermanned if we're forced to engage the romulans in battle.,geordi,14.0,115.txt,"['Were', 'going', 'seriously', 'undermanned', 'forced', 'engage', 'Romulans', 'battle']","['Were', 'go', 'serious', 'underman', 'forc', 'engag', 'Romulan', 'battl']","['Were', 'go', 'serious', 'underman', 'forc', 'engag', 'Romulan', 'battl']",8.0,-0.0772,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14,1
9509,9509,3302,(continuing) engage.,picard,15.0,116.txt,"['continuing', 'Engage']","['continu', 'Engag']","['continu', 'Engag']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",15,16,16,"""Too Short a Season""",41309.5,Rob Bowman,Teleplay: Michael Michaelian and D. C. Fontana Story: Michael Michaelian,"February?8,?1988?(1988-02-08)",10.9[1],15,1
9602,9602,61349,"""11001001"" 19 2.4 engage mooring beams and lock off.",star trek: teaser continued: riker (v.o.),15.0,116.txt,"['11001001', '19', '24', 'Engage', 'mooring', 'beams', 'lock']","['11001001', '19', '24', 'Engag', 'moor', 'beam', 'lock']","['11001001', '19', '24', 'Engag', 'moor', 'beam', 'lock']",7.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",15,16,16,"""Too Short a Season""",41309.5,Rob Bowman,Teleplay: Michael Michaelian and D. C. Fontana Story: Michael Michaelian,"February?8,?1988?(1988-02-08)",10.9[1],15,1
10466,10466,79062,picard is already verbally engaged with mandl.,beverly,16.0,117.txt,"['Picard', 'already', 'verbally', 'engaged', 'Mandl']","['Picard', 'alreadi', 'verbal', 'engag', 'Mandl']","['Picard', 'alreadi', 'verbal', 'engag', 'Mandl']",5.0,0.0,['beverly'],beverly crusher,Gates McFadden,"['TNG', 'GEN,FCT,INS,NEM']",beverly crusher,Head of Starfleet Medical (S2),USS Enterprise-E,['Commander'],Human,"['beverly', 'crusher']",16,17,17,"""When the Bough Breaks""",41509.1,Kim Manners,Hannah Louise Shearer,"February?15,?1988?(1988-02-15)",10.2[1],16,1
11235,11235,3812,"engage, mister crusher.",picard i.,18.0,119.txt,"['Engage', 'Mister', 'Crusher']","['Engag', 'Mister', 'Crusher']","['Engag', 'Mister', 'Crusher']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,19,19,"""Coming of Age""",41416.2,Mike Vejar,Sandy Fries,"March?14,?1988?(1988-03-14)",10.1[1],18,1
11620,11620,3818,engage.3,picard ext.,19.0,120.txt,['Engage3'],['Engage3'],['Engage3'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",19,20,20,"""Heart of Glory""",41503.7,Rob Bowman,Teleplay: Maurice Hurley Story: Maurice Hurley and Herbert Wright & D. C. Fontana,"March?21,?1988?(1988-03-21)",10.7[1],19,1
11792,11792,3990,engage.,picard,19.0,120.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",19,20,20,"""Heart of Glory""",41503.7,Rob Bowman,Teleplay: Maurice Hurley Story: Maurice Hurley and Herbert Wright & D. C. Fontana,"March?21,?1988?(1988-03-21)",10.7[1],19,1
12598,12598,87047,engage ,geordi ext.,20.0,121.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",20,21,21,"""The Arsenal of Freedom""",41798.2,Les Landau,Teleplay: Richard Manning and Hans Beimler Story: Maurice Hurley and Robert Lewin,"April?11,?1988?(1988-04-11)",10.4[1],20,1
12620,12620,87069,engage.,geordi,20.0,121.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",20,21,21,"""The Arsenal of Freedom""",41798.2,Les Landau,Teleplay: Richard Manning and Hans Beimler Story: Maurice Hurley and Robert Lewin,"April?11,?1988?(1988-04-11)",10.4[1],20,1
12964,12964,50526,(continuing) the object here is not to engage this creature in battle.,worf,21.0,122.txt,"['continuing', 'The', 'object', 'engage', 'creature', 'battle']","['continu', 'The', 'object', 'engag', 'creatur', 'battl']","['continu', 'The', 'object', 'engag', 'creatur', 'battl']",6.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],21,22,22,"""Symbiosis""",Unknown,Win Phelps,Teleplay: Robert Lewin & Richard Manning and Hans Beimler Story: Robert Lewin,"April?18,?1988?(1988-04-18)",10.8[1],21,1
13523,13523,4568,engage ,picard ext.,22.0,123.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,23,23,"""Skin of Evil""",41601.3,Joseph L. Scanlan,Teleplay: Joseph Stefano and Hannah Louise Shearer Story: Joseph Stefano,"April?25,?1988?(1988-04-25)",9.7[1],22,1
14127,14127,4828,engage.,picard,23.0,124.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",23,24,24,"""We'll Always Have Paris""",41697.9,Robert Becker,Deborah Dean Davis and Hannah Louise Shearer,"May?2,?1988?(1988-05-02)",9.7[1],23,1
14972,14972,5049,engage.,picard,25.0,126.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,26,26,"""The Neutral Zone""",41986.0,James L. Conway,Teleplay: Maurice Hurley Story: Deborah McIntyre & Mona Clee,"May?16,?1988?(1988-05-16)",10.2[1],25,1
15106,15106,5183,we are not out here to engage in battles; we are explorers.,picard,25.0,126.txt,"['We', 'engage', 'battles', 'explorers']","['We', 'engag', 'battl', 'explor']","['We', 'engag', 'battl', 'explor']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,26,26,"""The Neutral Zone""",41986.0,James L. Conway,Teleplay: Maurice Hurley Story: Deborah McIntyre & Mona Clee,"May?16,?1988?(1988-05-16)",10.2[1],25,1
15156,15156,5233,engage ,picard,25.0,126.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,26,26,"""The Neutral Zone""",41986.0,James L. Conway,Teleplay: Maurice Hurley Story: Deborah McIntyre & Mona Clee,"May?16,?1988?(1988-05-16)",10.2[1],25,1
15722,15722,5413,"then, mister crusher engage ",picard ext.,26.0,127.txt,"['Then', 'Mister', 'Crusher', 'engage']","['Then', 'Mister', 'Crusher', 'engag']","['Then', 'Mister', 'Crusher', 'engag']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,27,1,"""The Child""",42073.1,Rob Bowman,Jaron Summers & Jon Povill and Maurice Hurley,"November?21,?1988?(1988-11-21)",10.9[2],26,1
15904,15904,62404,engage.6,riker ext.,26.0,127.txt,['Engage6'],['Engage6'],['Engage6'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",1,27,1,"""The Child""",42073.1,Rob Bowman,Jaron Summers & Jon Povill and Maurice Hurley,"November?21,?1988?(1988-11-21)",10.9[2],26,1
15907,15907,62407,lieutenant la forge says we will be able to engage the warp drive within the hour.,riker,26.0,127.txt,"['Lieutenant', 'La', 'Forge', 'says', 'able', 'engage', 'warp', 'drive', 'within', 'hour']","['Lieuten', 'La', 'Forg', 'say', 'abl', 'engag', 'warp', 'drive', 'within', 'hour']","['Lieuten', 'La', 'Forg', 'say', 'abl', 'engag', 'warp', 'drive', 'within', 'hour']",10.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",1,27,1,"""The Child""",42073.1,Rob Bowman,Jaron Summers & Jon Povill and Maurice Hurley,"November?21,?1988?(1988-11-21)",10.9[2],26,1
16393,16393,5527,engage.,picard,27.0,128.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",2,28,2,"""Where Silence Has Lease""",42193.6,Winrich Kolbe,Jack B. Sowards,"November?28,?1988?(1988-11-28)",10.3[2],27,1
16703,16703,62529,engage.,riker,27.0,128.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,28,2,"""Where Silence Has Lease""",42193.6,Winrich Kolbe,Jack B. Sowards,"November?28,?1988?(1988-11-28)",10.3[2],27,1
16705,16705,62531,"(to wesley) our engines have engaged, haven't they, ensign?",riker,27.0,128.txt,"['Wesley', 'Our', 'engines', 'engaged', 'havent', 'Ensign']","['Wesley', 'Our', 'engin', 'engag', 'havent', 'Ensign']","['Wesley', 'Our', 'engin', 'engag', 'havent', 'Ensign']",6.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,28,2,"""Where Silence Has Lease""",42193.6,Winrich Kolbe,Jack B. Sowards,"November?28,?1988?(1988-11-28)",10.3[2],27,1
17517,17517,5772,engage the screen.,picard,29.0,130.txt,"['Engage', 'screen']","['Engag', 'screen']","['Engag', 'screen']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,30,4,"""The Outrageous Okona""",42402.7,Robert Becker,Teleplay by: Burton Armus Story by: Les Menchen & Lance Dickson & David Landsberg,"December?12,?1988?(1988-12-12)",Unknown[2],29,1
17590,17590,5845,engage main viewer.,picard,29.0,130.txt,"['Engage', 'Main', 'Viewer']","['Engag', 'Main', 'Viewer']","['Engag', 'Main', 'Viewer']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,30,4,"""The Outrageous Okona""",42402.7,Robert Becker,Teleplay by: Burton Armus Story by: Les Menchen & Lance Dickson & David Landsberg,"December?12,?1988?(1988-12-12)",Unknown[2],29,1
17821,17821,62639,(beat) engage.,riker (o.s.),29.0,130.txt,"['beat', 'Engage']","['beat', 'Engag']","['beat', 'Engag']",2.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",4,30,4,"""The Outrageous Okona""",42402.7,Robert Becker,Teleplay by: Burton Armus Story by: Les Menchen & Lance Dickson & David Landsberg,"December?12,?1988?(1988-12-12)",Unknown[2],29,1
17852,17852,62670,we'll disengage at my command.,riker,29.0,130.txt,"['Well', 'disengage', 'command']","['Well', 'disengag', 'command']","['Well', 'disengag', 'command']",3.0,0.2732,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",4,30,4,"""The Outrageous Okona""",42402.7,Robert Becker,Teleplay by: Burton Armus Story by: Les Menchen & Lance Dickson & David Landsberg,"December?12,?1988?(1988-12-12)",Unknown[2],29,1
17853,17853,62671,(beat) disengage.,riker,29.0,130.txt,"['beat', 'Disengage']","['beat', 'Disengag']","['beat', 'Disengag']",2.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",4,30,4,"""The Outrageous Okona""",42402.7,Robert Becker,Teleplay by: Burton Armus Story by: Les Menchen & Lance Dickson & David Landsberg,"December?12,?1988?(1988-12-12)",Unknown[2],29,1
19119,19119,6330,engage ,picard ext.,31.0,132.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31,1
19362,19362,62788,"engage, mister crusher.",riker,31.0,132.txt,"['Engage', 'Mister', 'Crusher']","['Engag', 'Mister', 'Crusher']","['Engag', 'Mister', 'Crusher']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31,1
19607,19607,6427,the forcefield engages.,picard,32.0,133.txt,"['The', 'forcefield', 'engages']","['The', 'forcefield', 'engag']","['The', 'forcefield', 'engag']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32,1
19728,19728,6548,(to com panel) engage forcefield.,picard,32.0,133.txt,"['com', 'panel', 'Engage', 'forcefield']","['com', 'panel', 'Engag', 'forcefield']","['com', 'panel', 'Engag', 'forcefield']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32,1
19734,19734,6554,engage.,picard (v.o.),32.0,133.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32,1
21466,21466,7063,engage.,picard,35.0,136.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,36,10,"""The Dauphin""",42568.8,Rob Bowman,Scott Rubenstein & Leonard Mlodinow,"February?20,?1989?(1989-02-20)",10.7[2],35,1
21467,21467,7064,wesley engages the warp drive and watches daled four disappear from the main viewer ,picard,35.0,136.txt,"['Wesley', 'engages', 'warp', 'drive', 'watches', 'Daled', 'Four', 'disappear', 'Main', 'Viewer']","['Wesley', 'engag', 'warp', 'drive', 'watch', 'Dale', 'Four', 'disappear', 'Main', 'Viewer']","['Wesley', 'engag', 'warp', 'drive', 'watch', 'Dale', 'Four', 'disappear', 'Main', 'Viewer']",10.0,-0.2263,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,36,10,"""The Dauphin""",42568.8,Rob Bowman,Scott Rubenstein & Leonard Mlodinow,"February?20,?1989?(1989-02-20)",10.7[2],35,1
