,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
17983,17983,5892,"(nodding, thoughtful) mister crusher, make it so prepare for extended touch and go orbit.",picard,30.0,131.txt,"['nodding', 'thoughtful', 'Mister', 'Crusher', 'make', 'prepare', 'extended', 'touch', 'go', 'orbit']","['nod', 'thought', 'Mister', 'Crusher', 'make', 'prepar', 'extend', 'touch', 'go', 'orbit']","['nod', 'thought', 'Mister', 'Crusher', 'make', 'prepar', 'extend', 'touch', 'go', 'orbit']",10.0,0.1779,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",5,31,5,"""Loud as a Whisper""",42477.2,Larry Shaw,Jacqueline Zambrano,"January?9,?1989?(1989-01-09)",10.7[2],30
18939,18939,6150,make it so.,picard,31.0,132.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31
19098,19098,6309,(to data) make it so.,picard,31.0,132.txt,"['Data', 'Make']","['Data', 'Make']","['Data', 'Make']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31
19707,19707,6527,make it so.,picard,32.0,133.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32
20431,20431,6651,(thoughtful for a beat) make it so.,picard,33.0,134.txt,"['thoughtful', 'beat', 'Make']","['thought', 'beat', 'Make']","['thought', 'beat', 'Make']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,34,8,"""A Matter of Honor""",42506.5,Rob Bowman,Teleplay by: Burton Armus Story by: Wanda M. Haight & Gregory Amos and Burton Armus,"February?6,?1989?(1989-02-06)",11.3[2],33
22427,22427,63406,make it so.,riker,36.0,137.txt,['Make'],['Make'],['Make'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",11,37,11,"""Contagion""",42609.1,Joseph L. Scanlan,Steve Gerber & Beth Woods,"March?20,?1989?(1989-03-20)",10.2[2],36
22582,22582,7311,"make it so, number one.7",picard int.,37.0,138.txt,"['Make', 'Number', 'One7']","['Make', 'Number', 'One7']","['Make', 'Number', 'One7']",3.0,0.0772,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,38,12,"""The Royale""",42625.4,Cliff Bole,Keith Mills,"March?27,?1989?(1989-03-27)",10.6[2],37
22613,22613,7342,make it so ,picard int.,37.0,138.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,38,12,"""The Royale""",42625.4,Cliff Bole,Keith Mills,"March?27,?1989?(1989-03-27)",10.6[2],37
28125,28125,88181,picard makes up his mind: make it so.,geordi,45.0,146.txt,"['Picard', 'makes', 'mind', 'Make']","['Picard', 'make', 'mind', 'Make']","['Picard', 'make', 'mind', 'Make']",4.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",20,46,20,"""The Emissary""",42901.3,Cliff Bole,Teleplay by: Richard Manning & Hans Beimler Story by: Richard Manning & Hans Beimler and Thomas H. Calder,"June?26,?1989?(1989-06-26)",9.0[2],45
31329,31329,9430,make it so.,picard,51.0,152.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,52,4,"""Who Watches the Watchers""",43173.5,Robert Wiemer,Richard Manning & Hans Beimler,"October?16,?1989?(1989-10-16)",9.6[4],51
32872,32872,9895,(nods to wesley) make it so.,picard,54.0,155.txt,"['nods', 'Wesley', 'Make']","['nod', 'Wesley', 'Make']","['nod', 'Wesley', 'Make']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,55,7,"""The Enemy""",43349.2,David Carson,David Kemper & Michael Piller,"November?6,?1989?(1989-11-06)",10.3[4],54
33580,33580,10108,make it so.,picard,55.0,156.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,56,8,"""The Price""",43385.6,Robert Scheerer,Hannah Louise Shearer,"November?13,?1989?(1989-11-13)",10.6[4],55
33965,33965,10155,make it so ,picard ext.,56.0,157.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",9,57,9,"""The Vengeance Factor""",43421.9,Timothy Bond,Sam Rolfe,"November?20,?1989?(1989-11-20)",9.7[4],56
34934,34934,10503,make it so ,picard int.,58.0,159.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,59,11,"""The Hunted""",43489.2,Cliff Bole,Robin Bernheim,"January?8,?1990?(1990-01-08)",10.6[4],58
35813,35813,10678,make it so.,picard,60.0,161.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",13,61,13,"""D?j? Q""",43539.1,Les Landau,Richard Danus,"February?5,?1990?(1990-02-05)",11.3[4],60
37207,37207,11095,(to castillo) make it so.,picard,62.0,163.txt,"['Castillo', 'Make']","['Castillo', 'Make']","['Castillo', 'Make']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",15,63,15,"""Yesterday's Enterprise""",43625.2,David Carson,"Teleplay by: Ira Steven Behr, Richard Manning, Hans Beimler and Ronald D. Moore From a Story by: Trent Christopher Ganino & Eric A. Stillwell","February?19,?1990?(1990-02-19)",11.9[4],62
38865,38865,11458,mister crusher make it so.,false picard,65.0,166.txt,"['Mister', 'Crusher', 'make']","['Mister', 'Crusher', 'make']","['Mister', 'Crusher', 'make']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,66,18,"""Allegiance""",43714.1,Winrich Kolbe,Richard Manning & Hans Beimler,"March?26,?1990?(1990-03-26)",10.2[4],65
40455,40455,12218,make it so.,picard,68.0,169.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",21,69,21,"""Hollow Pursuits""",43807.4,Cliff Bole,Sally Caves,"April?30,?1990?(1990-04-30)",9.8[4],68
41161,41161,12257,make it so.,picard,69.0,170.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,70,22,"""The Most Toys""",43872.2,Timothy Bond,Shari Goodhartz,"May?7,?1990?(1990-05-07)",10.3[4],69
41194,41194,12290,make it so ,picard ext.,69.0,170.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,70,22,"""The Most Toys""",43872.2,Timothy Bond,Shari Goodhartz,"May?7,?1990?(1990-05-07)",10.3[4],69
42047,42047,12547,make it so.,picard,71.0,172.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",24,72,24,"""M?nage ? Troi""",43930.7,Robert Legato,Fred Bronson & Susan Sackett,"May?28,?1990?(1990-05-28)",9.1[4],71
43555,43555,66911,make it so.,riker,73.0,174.txt,['Make'],['Make'],['Make'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",26,74,26,"""The Best of Both Worlds""",43989.1,Cliff Bole,Michael Piller,"June?18,?1990?(1990-06-18)",10.1[4],73
43773,43773,12880,"make it so, number one.",picard,74.0,175.txt,"['Make', 'Number', 'One']","['Make', 'Number', 'One']","['Make', 'Number', 'One']",3.0,0.0772,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,75,1,"""The Best of Both Worlds: Part II""",44001.4,Cliff Bole,Michael Piller,"September?24,?1990?(1990-09-24)",12.3[5],74
44016,44016,67084,make it so ,riker ext.,74.0,175.txt,['Make'],['Make'],['Make'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",1,75,1,"""The Best of Both Worlds: Part II""",44001.4,Cliff Bole,Michael Piller,"September?24,?1990?(1990-09-24)",12.3[5],74
44064,44064,67132,make it so.,riker,74.0,175.txt,['Make'],['Make'],['Make'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",1,75,1,"""The Best of Both Worlds: Part II""",44001.4,Cliff Bole,Michael Piller,"September?24,?1990?(1990-09-24)",12.3[5],74
49080,49080,14171,make it so.,picard,83.0,184.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83
49105,49105,14196,make it so.,picard,83.0,184.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83
50598,50598,14532,make it so.,picard,85.0,186.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,86,12,"""The Wounded""",44429.6,Chip Chalmers,Teleplay: Jeri Taylor Story: Stuart Charno & Sara Charno and Cy Chermak,"January?28,?1991?(1991-01-28)",12.1[5],85
51409,51409,14867,make it so ,picard ext.,87.0,188.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,88,14,"""Clues""",44502.7,Les Landau,Teleplay: Bruce D. Arthurs and Joe Menosky Story: Bruce D. Arthurs,"February?11,?1991?(1991-02-11)",12.3[5],87
51630,51630,15088,make it so.,picard,87.0,188.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,88,14,"""Clues""",44502.7,Les Landau,Teleplay: Bruce D. Arthurs and Joe Menosky Story: Bruce D. Arthurs,"February?11,?1991?(1991-02-11)",12.3[5],87
52410,52410,15308,make it so.,picard,89.0,190.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,90,16,"""Galaxy's Child""",44614.6,Winrich Kolbe,Teleplay: Maurice Hurley Story: Thomas Kartozian,"March?11,?1991?(1991-03-11)",11.7[5],89
53626,53626,15498,make it so.,picard,91.0,192.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,92,18,"""Identity Crisis""",44664.5,Winrich Kolbe,Teleplay: Brannon Braga Story: Timothy DeHaas,"March?25,?1991?(1991-03-25)",10.9[5],91
54221,54221,15566,make it so.all rising...,picard,92.0,193.txt,"['Make', 'soAll', 'rising']","['Make', 'soAll', 'rise']","['Make', 'soAll', 'rise']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",19,93,19,"""The Nth Degree""",44704.2,Robert Legato,Joe Menosky,"April?1,?1991?(1991-04-01)",11.0[5],92
57303,57303,16321,make it so ,picard int.,97.0,198.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",24,98,24,"""The Mind's Eye""",44885.5,David Livingston,Teleplay: Ren? Echevarria Story: Ken Schafer and Ren? Echevarria,"May?27,?1991?(1991-05-27)",10.1[5],97
57809,57809,16398,make it so ,picard int.,98.0,199.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,99,25,"""In Theory""",44932.3,Patrick Stewart,Joe Menosky and Ronald D. Moore,"June?3,?1991?(1991-06-03)",9.8[5],98
58964,58964,105808,(make it so! ,gowron,99.0,200.txt,['Make'],['Make'],['Make'],1.0,0.0,['gowron'],gowron,Robert O'Reilly,"['TNG', 'DS9']",gowron,Klingon Empire,Klingon High Council,['Chancellor'],Klingon,['gowron'],26,100,26,"""Redemption I""",44995.3,Cliff Bole,Ronald D. Moore,"June?17,?1991?(1991-06-17)",10.9[5],99
61020,61020,17482,make it so.,picard,103.0,204.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,104,4,"""Silicon Avatar""",45122.3,Cliff Bole,Teleplay: Jeri Taylor Story: Lawrence V. Conley,"October?14,?1991?(1991-10-14)",12.0[6],103
61774,61774,17519,(trying to make it sound fun) but...,picard,104.0,205.txt,"['trying', 'make', 'sound', 'fun', 'But']","['tri', 'make', 'sound', 'fun', 'But']","['tri', 'make', 'sound', 'fun', 'But']",5.0,0.5106,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",5,105,5,"""Disaster""",45156.1,Gabrielle Beaumont,Teleplay: Ronald D. Moore Story: Ron Jarvis & Philip A. Scorza,"October?21,?1991?(1991-10-21)",12.3[6],104
65264,65264,54497,(indicating monitor) we should evacuate sections twentyfour to fortyseven on decks thirtyfive through thirtyeight  make it so (interrupting) sir!,riker resume scene picard worf,109.0,210.txt,"['indicating', 'monitor', 'We', 'evacuate', 'sections', 'twentyfour', 'fortyseven', 'decks', 'thirtyfive', 'thirtyeight', 'Make', 'interrupting', 'Sir']","['indic', 'monitor', 'We', 'evacu', 'section', 'twentyfour', 'fortyseven', 'deck', 'thirtyf', 'thirtyeight', 'Make', 'interrupt', 'Sir']","['indic', 'monitor', 'We', 'evacu', 'section', 'twentyfour', 'fortyseven', 'deck', 'thirtyf', 'thirtyeight', 'Make', 'interrupt', 'Sir']",13.0,-0.34,"['riker', 'picard', 'worf']",worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],10,110,10,"""New Ground""",45376.3,Robert Scheerer,Teleplay: Grant Rosenberg Story: Sara Charno and Stuart Charno,"January?6,?1992?(1992-01-06)",11.9[6],109
65530,65530,18585,(to com) make it so.,picard,110.0,211.txt,"['com', 'Make']","['com', 'Make']","['com', 'Make']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,111,11,"""Hero Worship""",45397.3,Patrick Stewart,Teleplay: Joe Menosky Story: Hilary J. Bader,"January?27,?1992?(1992-01-27)",12.7[6],110
68532,68532,19150,make it so.,picard,115.0,216.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,116,16,"""Ethics""",45587.3,Chip Chalmers,Teleplay: Ronald D. Moore Story: Sara Charno & Stuart Charno,"March?2,?1992?(1992-03-02)",12.6[6],115
