,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EnergizeCount
7350,7350,2635,(to transporter chief) energize.,picard,11.0,112.txt,"['Transporter', 'Chief', 'Energize']","['Transport', 'Chief', 'Energ']","['Transport', 'Chief', 'Energ']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,12,12,"""The Big Goodbye""",41997.7,Joseph L. Scanlan,Tracy Torm?,"January?11,?1988?(1988-01-11)",11.5[1],11,1
8818,8818,3068,energize!,picard,14.0,115.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14,1
9012,9012,59126,energize!,tasha,14.0,115.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14,1
9024,9024,59138,(into com) energize!,tasha,14.0,115.txt,"['Com', 'Energize']","['Com', 'Energ']","['Com', 'Energ']",2.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14,1
9036,9036,59150,(energized) which means there's still time for us to do something.,tasha,14.0,115.txt,"['energized', 'Which', 'means', 'theres', 'still', 'time', 'us', 'something']","['energ', 'Which', 'mean', 'there', 'still', 'time', 'us', 'someth']","['energ', 'Which', 'mean', 'there', 'still', 'time', 'u', 'someth']",8.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14,1
10128,10128,3446,energize!,picard,16.0,117.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,17,17,"""When the Bough Breaks""",41509.1,Kim Manners,Hannah Louise Shearer,"February?15,?1988?(1988-02-15)",10.2[1],16,1
10164,10164,3482,energize!,picard,16.0,117.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,17,17,"""When the Bough Breaks""",41509.1,Kim Manners,Hannah Louise Shearer,"February?15,?1988?(1988-02-15)",10.2[1],16,1
10816,10816,61706,energize.,transporter room (optical) riker,17.0,118.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",17,18,18,"""Home Soil""",41463.9,Corey Allen,Teleplay: Robert Sabaroff Story: Karl Geurs & Ralph Sanchez and Robert Sabaroff,"February?22,?1988?(1988-02-22)",9.0[1],17,1
12033,12033,61788,(continuing; to the energize ,riker transporter chief) int.,19.0,120.txt,"['continuing', 'Energize']","['continu', 'Energ']","['continu', 'Energ']",2.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",19,20,20,"""Heart of Glory""",41503.7,Rob Bowman,Teleplay: Maurice Hurley Story: Maurice Hurley and Herbert Wright & D. C. Fontana,"March?21,?1988?(1988-03-21)",10.7[1],19,1
12655,12655,87104,"energize hru as riker, tasha, data, picard, and beverly on the bridge.",geordi,20.0,121.txt,"['Energize', 'hru', 'Riker', 'Tasha', 'Data', 'Picard', 'Beverly', 'bridge']","['Energ', 'hru', 'Riker', 'Tasha', 'Data', 'Picard', 'Beverli', 'bridg']","['Energ', 'hru', 'Riker', 'Tasha', 'Data', 'Picard', 'Beverli', 'bridg']",8.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",20,21,21,"""The Arsenal of Freedom""",41798.2,Les Landau,Teleplay: Richard Manning and Hans Beimler Story: Maurice Hurley and Robert Lewin,"April?11,?1988?(1988-04-11)",10.4[1],20,1
13111,13111,61994,energize ,riker ext.,21.0,122.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",21,22,22,"""Symbiosis""",Unknown,Win Phelps,Teleplay: Robert Lewin & Richard Manning and Hans Beimler Story: Robert Lewin,"April?18,?1988?(1988-04-18)",10.8[1],21,1
13619,13619,59437,"then all six of you get on the transporter platform on my signal, energize.",tasha,22.0,123.txt,"['Then', 'six', 'get', 'transporter', 'platform', 'signal', 'energize']","['Then', 'six', 'get', 'transport', 'platform', 'signal', 'energ']","['Then', 'six', 'get', 'transport', 'platform', 'signal', 'energ']",7.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",22,23,23,"""Skin of Evil""",41601.3,Joseph L. Scanlan,Teleplay: Joseph Stefano and Hannah Louise Shearer Story: Joseph Stefano,"April?25,?1988?(1988-04-25)",9.7[1],22,1
13623,13623,59441,(intercom) energize on my mark.,tasha,22.0,123.txt,"['intercom', 'Energize', 'mark']","['intercom', 'Energ', 'mark']","['intercom', 'Energ', 'mark']",3.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",22,23,23,"""Skin of Evil""",41601.3,Joseph L. Scanlan,Teleplay: Joseph Stefano and Hannah Louise Shearer Story: Joseph Stefano,"April?25,?1988?(1988-04-25)",9.7[1],22,1
13624,13624,59442,four three two one energize as the working the console what is not the people but a large cargo barrel both very surprised.,tasha,22.0,123.txt,"['Four', 'three', 'two', 'one', 'energize', 'As', 'working', 'console', 'What', 'people', 'large', 'cargo', 'barrel', 'Both', 'surprised']","['Four', 'three', 'two', 'one', 'energ', 'As', 'work', 'consol', 'What', 'peopl', 'larg', 'cargo', 'barrel', 'Both', 'surpris']","['Four', 'three', 'two', 'one', 'energ', 'As', 'work', 'consol', 'What', 'peopl', 'larg', 'cargo', 'barrel', 'Both', 'surpris']",15.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",22,23,23,"""Skin of Evil""",41601.3,Joseph L. Scanlan,Teleplay: Joseph Stefano and Hannah Louise Shearer Story: Joseph Stefano,"April?25,?1988?(1988-04-25)",9.7[1],22,1
13716,13716,62050,"energize as the starts on the pad, then",riker,22.0,123.txt,"['Energize', 'starts', 'pad']","['Energ', 'start', 'pad']","['Energ', 'start', 'pad']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",22,23,23,"""Skin of Evil""",41601.3,Joseph L. Scanlan,Teleplay: Joseph Stefano and Hannah Louise Shearer Story: Joseph Stefano,"April?25,?1988?(1988-04-25)",9.7[1],22,1
14320,14320,62129,energize.,riker,23.0,124.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",23,24,24,"""We'll Always Have Paris""",41697.9,Robert Becker,Deborah Dean Davis and Hannah Louise Shearer,"May?2,?1988?(1988-05-02)",9.7[1],23,1
14640,14640,4991,(nods at riker) energize.,picard,24.0,125.txt,"['nods', 'Riker', 'Energize']","['nod', 'Riker', 'Energ']","['nod', 'Riker', 'Energ']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",24,25,25,"""Conspiracy""",41775.5,Cliff Bole,Teleplay: Tracy Torm? Story: Robert Sabaroff,"May?9,?1988?(1988-05-09)",9.4[1],24,1
16734,16734,62560,(continuing; to transporter chief) energize.,riker,27.0,128.txt,"['continuing', 'Transporter', 'Chief', 'Energize']","['continu', 'Transport', 'Chief', 'Energ']","['continu', 'Transport', 'Chief', 'Energ']",4.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,28,2,"""Where Silence Has Lease""",42193.6,Winrich Kolbe,Jack B. Sowards,"November?28,?1988?(1988-11-28)",10.3[2],27,1
18594,18594,62696,energize.,riker,30.0,131.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",5,31,5,"""Loud as a Whisper""",42477.2,Larry Shaw,Jacqueline Zambrano,"January?9,?1989?(1989-01-09)",10.7[2],30,1
18893,18893,6104,energize.,picard,31.0,132.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31,1
19093,19093,6304,"data and picard check their weapons, then: (continuing) energize.",picard,31.0,132.txt,"['Data', 'Picard', 'check', 'weapons', 'continuing', 'Energize']","['Data', 'Picard', 'check', 'weapon', 'continu', 'Energ']","['Data', 'Picard', 'check', 'weapon', 'continu', 'Energ']",6.0,-0.29600000000000004,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31,1
19396,19396,62822,"worf and riker check their weapons, then: (continuing) energize.",riker,31.0,132.txt,"['Worf', 'Riker', 'check', 'weapons', 'continuing', 'Energize']","['Worf', 'Riker', 'check', 'weapon', 'continu', 'Energ']","['Worf', 'Riker', 'check', 'weapon', 'continu', 'Energ']",6.0,-0.29600000000000004,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31,1
19652,19652,6472,energize.,picard,32.0,133.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32,1
19860,19860,50911,energize.,worf,32.0,133.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32,1
20073,20073,87615,"(to com panel) transporter, energize.",geordi,32.0,133.txt,"['com', 'panel', 'Transporter', 'energize']","['com', 'panel', 'Transport', 'energ']","['com', 'panel', 'Transport', 'energ']",4.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32,1
20438,20438,6658,"transporter room, energize ",enterprise main bridge picard int.,33.0,134.txt,"['Transporter', 'Room', 'energize']","['Transport', 'Room', 'energ']","['Transport', 'Room', 'energ']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,34,8,"""A Matter of Honor""",42506.5,Rob Bowman,Teleplay by: Burton Armus Story by: Wanda M. Haight & Gregory Amos and Burton Armus,"February?6,?1989?(1989-02-06)",11.3[2],33,1
20560,20560,63000,before the members on the pad can cover their smiles to answer: (continuing) energize.,riker,33.0,134.txt,"['Before', 'members', 'pad', 'cover', 'smiles', 'answer', 'continuing', 'Energize']","['Befor', 'member', 'pad', 'cover', 'smile', 'answer', 'continu', 'Energ']","['Befor', 'member', 'pad', 'cover', 'smile', 'answer', 'continu', 'Energ']",8.0,0.3612,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",8,34,8,"""A Matter of Honor""",42506.5,Rob Bowman,Teleplay by: Burton Armus Story by: Wanda M. Haight & Gregory Amos and Burton Armus,"February?6,?1989?(1989-02-06)",11.3[2],33,1
20612,20612,63052,energize.,riker,33.0,134.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",8,34,8,"""A Matter of Honor""",42506.5,Rob Bowman,Teleplay by: Burton Armus Story by: Wanda M. Haight & Gregory Amos and Burton Armus,"February?6,?1989?(1989-02-06)",11.3[2],33,1
21785,21785,76472,then: (continuing) energize.,wesley,35.0,136.txt,"['Then', 'continuing', 'Energize']","['Then', 'continu', 'Energ']","['Then', 'continu', 'Energ']",3.0,0.0,['wesley'],wesley crusher,Wil Wheaton,"['TNG', 'NEM']",wesley crusher,Helmsman (S1-4),USS Titan,"['Lieutenant, JG']",Human,"['wesley', 'crusher']",10,36,10,"""The Dauphin""",42568.8,Rob Bowman,Scott Rubenstein & Leonard Mlodinow,"February?20,?1989?(1989-02-20)",10.7[2],35,1
22058,22058,7195,energize.,picard,36.0,137.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,37,11,"""Contagion""",42609.1,Joseph L. Scanlan,Steve Gerber & Beth Woods,"March?20,?1989?(1989-03-20)",10.2[2],36,1
22585,22585,7314,"""the royale"" 10 4.7 energize.",star trek: teaser continued: picard,37.0,138.txt,"['The', 'Royale', '10', '47', 'Energize']","['The', 'Royal', '10', '47', 'Energ']","['The', 'Royal', '10', '47', 'Energ']",5.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,38,12,"""The Royale""",42625.4,Cliff Bole,Keith Mills,"March?27,?1989?(1989-03-27)",10.6[2],37,1
22842,22842,63456,(continuing) energize.,riker,37.0,138.txt,"['continuing', 'Energize']","['continu', 'Energ']","['continu', 'Energ']",2.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",12,38,12,"""The Royale""",42625.4,Cliff Bole,Keith Mills,"March?27,?1989?(1989-03-27)",10.6[2],37,1
25193,25193,64046,energize.,riker,41.0,142.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41,1
26089,26089,88035,energize...,geordi,42.0,143.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",17,43,17,"""Samaritan Snare""",42779.1,Les Landau,Robert L. McCullough,"May?15,?1989?(1989-05-15)",10.0[2],42,1
26808,26808,8335,energize as mrs.,picard angle on the transporter platform (optical),44.0,145.txt,"['Energize', 'Mrs']","['Energ', 'Mr']","['Energ', 'Mr']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",19,45,19,"""Manhunt""",42859.2,Rob Bowman,Terry Devereaux,"June?19,?1989?(1989-06-19)",8.9[2],44,1
28130,28130,88186,energize.,geordi,45.0,146.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",20,46,20,"""The Emissary""",42901.3,Cliff Bole,Teleplay by: Richard Manning & Hans Beimler Story by: Richard Manning & Hans Beimler and Thomas H. Calder,"June?26,?1989?(1989-06-26)",9.0[2],45,1
29381,29381,88277,energize ,geordi,47.0,148.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",22,48,22,"""Shades of Gray""",42976.1,Rob Bowman,Teleplay by: Maurice Hurley and Richard Manning & Hans Beimler Story by: Maurice Hurley,"July?17,?1989?(1989-07-17)",9.8[2],47,1
31140,31140,65094,energize...,riker,50.0,151.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",3,51,3,"""The Survivors""",43152.4,Les Landau,Michael Wagner,"October?9,?1989?(1989-10-09)",9.6[4],50,1
31379,31379,9480,picard energizes as nuria and in shock.,picard,51.0,152.txt,"['Picard', 'energizes', 'Nuria', 'shock']","['Picard', 'energ', 'Nuria', 'shock']","['Picard', 'energ', 'Nuria', 'shock']",4.0,-0.3818,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,52,4,"""Who Watches the Watchers""",43173.5,Robert Wiemer,Richard Manning & Hans Beimler,"October?16,?1989?(1989-10-16)",9.6[4],51,1
31544,31544,65237,energize!,riker,51.0,152.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",4,52,4,"""Who Watches the Watchers""",43173.5,Robert Wiemer,Richard Manning & Hans Beimler,"October?16,?1989?(1989-10-16)",9.6[4],51,1
